"sep=,"
Shimmer_69B4_TimestampSync_Unix_CAL,Shimmer_69B4_ECG_LA-RA_24BIT_CAL,Shimmer_69B4_ECGtoHR_LA_RA_CAL,
ms,mV,BPM,
1.6861877729257925E12,-605.0000721216288,-1.0,
1.686187772927745E12,-605.0000721216288,-1.0,
1.6861877729296978E12,-605.0000721216288,-1.0,
1.6861877729316504E12,-605.0000721216288,-1.0,
1.686187772933603E12,-605.0000721216288,-1.0,
1.6861877729355554E12,-605.0000721216288,-1.0,
1.686187772937508E12,-605.0000721216288,-1.0,
1.6861877729394607E12,-605.0000721216288,-1.0,
1.6861877729414133E12,-605.0000721216288,-1.0,
1.686187772943366E12,-605.0000721216288,-1.0,
1.6861877729453184E12,-605.0000721216288,-1.0,
1.686187772947271E12,-605.0000721216288,-1.0,
1.6861877729492236E12,-605.0000721216288,-1.0,
1.6861877729511763E12,-605.0000721216288,-1.0,
1.686187772953129E12,-605.0000721216288,-1.0,
1.6861877729550813E12,-605.0000721216288,-1.0,
1.686187772957034E12,-605.0000721216288,-1.0,
1.6861877729589866E12,-605.0000721216288,-1.0,
1.6861877729609392E12,-605.0000721216288,-1.0,
1.6861877729628918E12,-605.0000721216288,-1.0,
1.6861877729648442E12,-605.0000721216288,-1.0,
1.6861877729667969E12,-605.0000721216288,-1.0,
1.6861877729687495E12,-605.0000721216288,-1.0,
1.6861877729707021E12,-605.0000721216288,-1.0,
1.6861877729726548E12,-605.0000721216288,-1.0,
1.6861877729746072E12,-605.0000721216288,-1.0,
1.6861877729765598E12,-605.0000721216288,-1.0,
1.6861877729785125E12,-605.0000721216288,-1.0,
1.686187772980465E12,-605.0000721216288,-1.0,
1.6861877729824177E12,-605.0000721216288,-1.0,
1.68618777298437E12,-605.0000721216288,-1.0,
1.6861877729863228E12,-605.0000721216288,-1.0,
1.6861877729882754E12,-605.0000721216288,-1.0,
1.686187772990228E12,-605.0000721216288,-1.0,
1.6861877729921807E12,-605.0000721216288,-1.0,
1.686187772994133E12,-605.0000721216288,-1.0,
1.6861877729960857E12,-605.0000721216288,-1.0,
1.6861877729980383E12,-605.0000721216288,-1.0,
1.686187772999991E12,-605.0000721216288,-1.0,
1.6861877730019436E12,-605.0000721216288,-1.0,
1.686187773003896E12,-605.0000721216288,-1.0,
1.6861877730058486E12,-605.0000721216288,-1.0,
1.6861877730078013E12,-605.0000721216288,-1.0,
1.686187773009754E12,-605.0000721216288,-1.0,
1.6861877730117065E12,-605.0000721216288,-1.0,
1.686187773013659E12,-605.0000721216288,-1.0,
1.6861877730156116E12,-605.0000721216288,-1.0,
1.6861877730175642E12,-605.0000721216288,-1.0,
1.6861877730195168E12,-605.0000721216288,-1.0,
1.6861877730214695E12,-605.0000721216288,-1.0,
1.6861877730234219E12,-605.0000721216288,-1.0,
1.6861877730253745E12,-605.0000721216288,-1.0,
1.6861877730273271E12,-605.0000721216288,-1.0,
1.6861877730292798E12,-605.0000721216288,-1.0,
1.6861877730312324E12,-605.0000721216288,-1.0,
1.6861877730331848E12,-605.0000721216288,-1.0,
1.6861877730351375E12,-605.0000721216288,-1.0,
1.68618777303709E12,-605.0000721216288,-1.0,
1.6861877730390427E12,-605.0000721216288,-1.0,
1.6861877730409954E12,-605.0000721216288,-1.0,
1.6861877730429478E12,-605.0000721216288,-1.0,
1.6861877730449004E12,-605.0000721216288,-1.0,
1.686187773046853E12,-605.0000721216288,-1.0,
1.6861877730488057E12,-605.0000721216288,-1.0,
1.6861877730507583E12,-605.0000721216288,-1.0,
1.6861877730527107E12,-605.0000721216288,-1.0,
1.6861877730546633E12,-605.0000721216288,-1.0,
1.686187773056616E12,-605.0000721216288,-1.0,
1.6861877730585686E12,-605.0000721216288,-1.0,
1.6861877730605212E12,-605.0000721216288,-1.0,
1.6861877730624736E12,-605.0000721216288,-1.0,
1.6861877730644263E12,-605.0000721216288,-1.0,
1.686187773066379E12,-605.0000721216288,-1.0,
1.6861877730683315E12,-605.0000721216288,-1.0,
1.6861877730702842E12,-605.0000721216288,-1.0,
1.6861877730722366E12,-605.0000721216288,-1.0,
1.6861877730741892E12,-605.0000721216288,-1.0,
1.6861877730761418E12,-605.0000721216288,-1.0,
1.6861877730780945E12,-605.0000721216288,-1.0,
1.686187773080047E12,-605.0000721216288,-1.0,
1.6861877730819995E12,-605.0000721216288,-1.0,
1.6861877730839521E12,-605.0000721216288,-1.0,
1.6861877730859048E12,-605.0000721216288,-1.0,
1.6861877730878574E12,-605.0000721216288,-1.0,
1.68618777308981E12,-605.0000721216288,-1.0,
1.6861877730917625E12,-605.0000721216288,-1.0,
1.686187773093715E12,-605.0000721216288,-1.0,
1.6861877730956677E12,-605.0000721216288,-1.0,
1.6861877730976204E12,-605.0000721216288,-1.0,
1.686187773099573E12,-605.0000721216288,-1.0,
1.6861877731015254E12,-605.0000721216288,-1.0,
1.686187773103478E12,-605.0000721216288,-1.0,
1.6861877731054307E12,-605.0000721216288,-1.0,
1.6861877731073833E12,-605.0000721216288,-1.0,
1.686187773109336E12,-605.0000721216288,-1.0,
1.6861877731112883E12,-605.0000721216288,-1.0,
1.686187773113241E12,-605.0000721216288,-1.0,
1.6861877731151936E12,-605.0000721216288,-1.0,
1.6861877731171462E12,-605.0000721216288,-1.0,
1.6861877731190989E12,-605.0000721216288,-1.0,
1.6861877731210513E12,-605.0000721216288,-1.0,
1.686187773123004E12,-605.0000721216288,-1.0,
1.6861877731249565E12,-605.0000721216288,-1.0,
1.6861877731269092E12,-605.0000721216288,-1.0,
1.6861877731288618E12,-605.0000721216288,-1.0,
1.6861877731308142E12,-605.0000721216288,-1.0,
1.6861877731327668E12,-605.0000721216288,-1.0,
1.6861877731347195E12,-605.0000721216288,-1.0,
1.686187773136672E12,-605.0000721216288,-1.0,
1.6861877731386248E12,-605.0000721216288,-1.0,
1.6861877731405771E12,-605.0000721216288,-1.0,
